,12/17/2013,(all prices list),List Unit Price,List Extended,VENDOR TOTAL,Country of Origin,Schedule B Tariff Code,MFR,Picture
500,311-1212-1-ND,CAP CERAMIC 1PF 50V NP0 1206-$0.04200-,0.0465,23.25,,Taiwan,853224,,
500,311-1150-1-ND,CAP CERAMIC 10PF 50V NP0 1206-$0.03612-,0.04046,20.23,,United Kingdom,853224,,
500,311-1161-1-ND,CAP CERAMIC 100PF 50V NP0 1206-$0.04200-,0.04706,23.53,,United Kingdom,853224,,
500,311-1144-1-ND,CAP 1000PF 1KV CERAMIC X7R 1206-$0.15300-,0.14688,73.44,,United Kingdom,853224,,
500,311-1174-1-ND,CAP 10000PF 50V CERAMIC X7R 1206 $0.03360-,0.03764,18.82,,United Kingdom,853224,,
500,399-4674-1-ND,CAP CERAMIC .1UF 250V X7R 1206-,0.1155,57.75,,Mexico,853224,,
500,445-1423-1-ND,CAP CER 1UF 50V X7R 10% 1206-,0.068,34.00,,Japan,853224,,
100,587-1352-1-ND,CAP CER 10UF 35V Y5V 1206-,0.184,18.40,,Japan,853224,,
25,283-2810-ND,CAP SUPER 1F 5.5V RADIAL,2.723,68.08,,South Korea,853229,,
,chokes:,-,,,,,,,
25,PCD2144CT-ND,CHOKE COIL 1.2UH 6500MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2152CT-ND,CHOKE COIL 10UH 3900MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2164CT-ND,CHOKE COIL 100UH 1200MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2176CT-ND,CHOKE COIL 1000UH 410MA SMD-,1.989,49.73,,Singapore,850450,,
,diodes:,-,,,,,,,
250,497-5559-1-ND,DIODE SCHOTTKY 100V SGL SOD-123-,0.16832,42.08,,Taiwan,854110,,
250,641-1331-1-ND,DIODE SCHOTTKY 1A 100V MINI-SMA-,0.1924,48.10,,Taiwan,854110,,
500,BZT52C3V3-FDICT-ND,DIODE ZENER 500MW 3.3V SOD123-,0.06526,32.63,,China,854110,,
500,BZT52C4V7-13-FDICT-ND,DIODE ZENER 4.7V 500MW SOD-123-,0.06526,32.63,,China,854110,,
,transistors:,-,,,,,,,
250,NDS355ANCT-ND,MOSFET N-CH 30V 1.7A 3-SSOT-,0.26336,65.84,,Philippines,854121,,
250,NDS356APCT-ND,MOSFET P-CH -30V 1.1A 3-SSOT-,0.33828,84.57,,Philippines,854121,,
50,RFD16N05LSM9ACT-ND,MOSFET N-CH 50V 16A TO-252AA-,1.125,56.25,,Malaysia,854129,,
,H-bridge motor driver:,,,,,,,,
100,620-1428-1-ND,IC PWM MOTOR DVR FULL 8SOIC,1.5738,157.38,,,,,
,regulators:,-,,,,,,,
250,LM3480IM3-3.3/NOPBCT-ND,IC 3.3V100MA LDO VREG SOT23-,0.32,80.00,,Malaysia,854239,,
250,LM3480IM3-5.0/NOPBCT-ND,IC 5.0 100MA LDO VREG SOT23-,0.32,80.00,,Malaysia,854239,,
100,LM2940IMP-5.0CT-ND,IC 5V 1A LDO VREG SOT223-,1.6954,169.54,,Malaysia,854239,,
,amplifiers:,-,,,,,,,
50,AD8615AUJZ-REEL7CT-ND,IC OPAMP GP R-R CMOS LN TSOT23-5   ,1.7421,87.11,,Malaysia,854233,,
25,LM4861M-ND,IC AMP AUDIO PWR 1.5W MONO 8SOIC,1.2752,31.88,,,,,
,LEDs:,-,,,,,,,
250,160-1167-1-ND,LED RED CLEAR 1206 SMD-,0.13124,32.81,,Taiwan,854140,,
250,160-1169-1-ND,LED GREEN CLEAR 1206 SMD-,0.15,37.50,,Taiwan,854140,,
250,160-1403-1-ND,LED YELLOW ORANGE CLEAR 1206 SMD,0.10124,25.31,,,,,
250,160-1889-1-ND,LED BLUE CLEAR 1206 REV MT SMD,0.13364,33.41,,,,,
250,160-1737-1-ND,LED WHITE YELLOW 260MCD 1206,0.2484,62.10,,,,,
100,CLV1A-FKB-CJ1M1F1BB7R4S3CT-ND,LED RED/GREEN/BLUE PLCC4 SMD      ,0.529,52.90,,China,854140,,
100,365-1470-1-ND,LED IR 850NM CLR PLCC-2 SMD REV,0.52,52.00,,Taiwan,854140,,
,for led strips see the amazon list,,,,,,,,
,photodetectors:,-,,,,,,,
100,365-1162-1-ND,PHOTOTRANSISTOR NPN SMD PLCC-2,0.28,28.00,,Taiwan,854140,,
,LCD:,-,,,,,,,
25,67-1781-ND,LCD MODULE 16x2 CHARACTER-,7.056,176.40,,Taiwan,853120,,
,speakers / microphones:,-,,,,,,,
25,GC0351M-ND,SPEAKER 16X35MM 8 OHMS .5WATT-,4.92,123.00,,Taiwan,851829,,
50,102-1727-ND,MIC CONDENSER ELECT OMNI -42DB-,1.833,91.65,,China,851810,,
,temperature:,-,,,,,,,
25,235-1109-1-ND,THERMISTOR NTC 10K OHM 10% 1206-,2.499,62.48,,Japan,853329,,
25,PTS12061.0KCT-ND,TEMP SENSOR RTD 1.0K OHM 1206,3.203,80.075,,USA,8533.21.0030,,
,hall effect: ,,,,,,,,
25,620-1021-1-ND,IC SENSOR HALL EFFECT SOT23W,1.386,34.65,,Philippines,854239,,
,accelerometer:,,,,,,,,
25,497-11918-1-ND,ACCELEROMETER/MAGNETOMETER LGA14,4.046,101.15,,,,,
,op-amp:,-,,,,,,,
100,AD8605ARTZREEL7CT-ND,IC OPAMP SNGL R-R I-O LN SOT23-5,1.3524,135.24,,South Korea,854233,,
,microcontrollers:,-,,,,,,,
200,ATTINY45V-10SU-ND,IC AVR MCU 4K 10MHZ 8SOIC-,1.23,246.00,,China,854231,,
100,ATTINY44A-SSU-ND,IC MCU AVR 4K FLASH 20MHZ 14SOIC-,1.176,117.60,,South Korea,854231,,
50,ATMEGA328P-AU-ND,"IC MCU 8BIT 32KB FLASH 32TQFP
",1.9156,95.78,,South Korea,854231,,
25,"ATMEGA16U2-AU-ND
","IC MCU 8BIT 16KB FLASH 32TQFP
",2.3288,58.22,,,,,
25,497-6063-ND,MCU ARM 64KB FLASH MEM 48-LQFP-,5.1412,128.53,,China,854231,,
2,1188-1048-ND,ST M3 STM32F103 HEADER BOARD,27.43,54.86,,,,,
,crystal:,-,,,,,,,
200,XC1109CT-ND,CER RESONATOR 20.00MHZ SMD,0.4275,85.5,,China,8541.6,,
200,535-10004-1-ND,RESONATOR CER 8.00 MHZ W/CAP SMD,0.2475,49.5,,,,,
100,644-1039-1-ND,CRYSTAL 20.000000 MHZ 8PF SMD,0.486,48.6,,Singapore,8541.6,,
,radios:,,,,,,,,
25,"576-1338-ND
","IC ASK TRANSMITTER UHF 8SOIC
",3.106,77.65,,,,,
25,"576-1961-5-ND
","IC RECEIVER 300-440MHZ 8-SOIC
",3.106,77.65,,,,,
25,"MRF49XA-I/ST-ND
","IC RF TXRX 433/868/915 16-TSSOP
",2.16,54,,,,,
10,"MRF89XAM8A-I/RM-ND
","TXRX MODULE 868MHZ ULP SUB GHZ
",7.95,79.5,,,,,
10,"MRF24J40MA-I/RM-ND        
","MODULE RF TXRX PICTAIL PLUS
",9.12,91.2,,,,,
5,"BT800-ND
","MOD BLUETOOTH HCI DUAL USB
",10.6,53,,,,,
5,"296-35512-1-ND
","MOD SIMPLELINK WI-FI CC3000
",12.51,62.55,,,,,
,buttons and switches:,-,,,,,,,
50,401-2012-1-ND,SWITCH SLIDE SPDT 12V 100MA GW-,0.8374,41.87,,China,853650,,
100,SW262CT-ND,SWITCH TACT SMD W-GND 160GF,0.7394,73.94,,Japan,853650,,
,magnets:,-,,,,,,,
100,469-1004-ND,"MAGNET 1-4""DIA X 1",0.2925,29.25,,China,850511,,
100,469-1002-ND,"MAGNET 1-2""DIA X 1",0.975,97.50,,China,850511,,
,headers:,-,,,,,,,
10,ED23064-ND,CONN SOCKET 64POS.100 SMT-,7.77,77.70,,USA,853669,,
10,ED2164-ND,CONN HEADER 64POS.100 R-ANGLE,8.946,89.46,,USA,853669,,
,jacks / plugs:,-,,,,,,,
100,CP1-023PJCT-ND,CONN PWR JACK DC 0.65X2.75MM SMD-,0.8234,82.34,,Hong Kong,853669,,
100,CP-012-ND,CONN DC PWR PLUG 0.7X2.35MM-,0.7763,77.63,,Taiwan,853669,,
50,CP-002AHPJCT-ND,CONN-POWER JACK 2.1MM SMD,1.469,73.45,,Hong Kong,853669,,
100,CP-2501SP-ND,CONN PLUG STEREO 2.5MM W-COVER,0.828,82.80,,Taiwan,853669,,
100,CP1-2533SJCT-ND,CONN JACK STEREO 3PIN 2.5MM SMD-,0.8779,87.79,,Hong Kong,853669,,
50,CP-1453-ND,CONN RCA PLUG W-STRAIN REL BLK,1.41,70.50,,China,853669,,
50,CP-1459-1-ND,CONN RCA JACK METAL R/A BLK SMD,1.118,55.90,,China,853669,,
10,SC1323-ND,CONN JACK PHONO 2POS SHIELDED-,3,30.00,,USA,853669,,
,ribbon / cable connectors:,-,,,,,,,
25,HFP09H-ND,CONN DB9 FEMALE PLASTIC SHELL-,1.61,40.25,,China,853669,,
25,HMP25H-ND,CONN DB25 MALE PLASTIC SHELL-,2.026,50.65,,China,853669,,
1,AE10M-300-ND,CABLE 10 COND 300' MULTI RIBBON,125.45,125.45,,Taiwan,854449,,
,screw terminals:,-,,,,,,,
100,ED1514-ND,TERMINAL BLOCK 3.5MM 2POS PCB-,0.463,46.30,,Germany,853669,,
100,ED1515-ND,TERMINAL BLOCK 3.5MM 3POS PCB-,0.666,66.60,,Germany,853669,,
,test clips:,-,,,,,,,
5,923655-08-ND,8-PN GOLD SMD TEST CLIP-,15.65,78.25,,USA,853690,,
,antistatic bags:,-,,,,,,,
100,16-1032-ND,"BAG ESD SHLD 3""X5"" METAL-IN ZIP-",0.1025,10.25,,USA,392329,,
100,16-1034-ND,"BAG ESD SHLD 5""X8"" METAL-IN ZIP-",0.1941,19.41,,USA,392329,,
200,16-1036-ND,"BAG ESD SHLD 8""X10"" METAL-IN ZIP-",0.3296,65.92,,USA,392329,,
,antistatic packaging:,,,,,,,,
1,12660-ND,"FOAM HI DENSITY X-INK 1/4"" 24X35",62.67,62.67,,USA,5503.9,,
,heat shrink tubing:,-,,,,,,,
5,A116B-4-ND,HEATSHRINK 1-16 IN X 4FT BLACK,0.76,3.80,,USA,854690,,
5,A018B-4-ND,HEATSHRINK 1-8 IN X 4FT BLACK,0.86,4.30,,USA,854690,,
5,A014B-4-ND,HEATSHRINK 1-4 IN X 4FT BLACK,1.32,6.60,,USA,854690,,
5,A038B-4-ND,HEATSHRINK 3-8 IN X 4FT BLACK,1.46,7.30,,USA,854690,,
5,A012B-4-ND,HEATSHRINK 1-2 IN X 4FT BLACK,1.66,8.30,,USA,854690,,
,soldering:,-,,,,,,,
4,KE1409-ND,"SOLDER NO-CLEAN .020"" X 1 lb-",74.33,297.32,,USA,831130,,
1,K416-ND,FAN FUME ABSORBER BENCHTOP 115V-,101.2,101.20,,USA,851519,,
10,EB1088-ND,"QUICK BRAID GOLD .050"" X 10'-",4.63,46.30,,USA,741300,,
2,WES51-ND,SOLDER STATION ANALOG 50W-,99,198.00,,Germany,851519,,
20,ETU-ND,"TIP REPLACEMENT SINGLE FLAT.015""-",5.12,102.40,,Mexico,851590,,
10,TC205-ND,SPONGE REPLACEMENT,1.1,11,,,,,
,tools:,-,,,,,,,
20,EROP7SA-ND,TWEEZER CURVED PRECISION TIP-,3.5,70.00,,Pakistan,820320,,
5,PA70057-ND,WIRE STRIPPER DATASHARK 30-20AWG-,10.91,54.55,,Taiwan,820320,,
5,MS54-ND,PLIER DIAGONAL CUTTING-,16.8,84.00,,USA,820320,,
5,L4V-ND,PLIER SUBMINIATURE LONG NOSE-,16.1,80.50,,USA,820320,,
10,243-1021-ND,"MAGNIFIER EYE LOUPE 10X 1"" LENS-",2.16,21.60,,USA,901380,,
4,201PV-ND,PANAVISE JR. UNIVERSAL VISE-,27.99,111.96,,USA,820570,,
2,XP600-ND,SCREWDRIVER PRECISION SET 6 PC,25.7,51.40,,Germany,820540,,
,battery connections:,-,,,,,,,
100,BS6I-MC-ND,9V BATTERY SNAP WITH 2PC MOLDED-,0.52,52.00,,China,853669,,
50,BH9V-W-ND,HOLDER BATTERY 9V WIRE LEADS-,1.265,63.25,,China,853669,,
100,55K-ND,CLIP BATTERY AAA-N CELL SMT,0.2815,28.15,,USA,853669,,
,multimeter:,-,,,,,,,
2,705-1030-ND,DMM COMPACT AUTO,61.95,123.90,,Taiwan,903031,,
,programming:,-,,,,,,,
1,ATAVRDRAGON-ND,KIT DRAGON 32KB FLASH MEM AVR-,50.96,50.96,,Sweden,847141,,
1,ATAVRISP2-ND,PROGRAMMER AVR IN SYSTEM-,35.36,35.36,,USA,847141,,
1,1188-1013-ND,ARM JTAG DEBUGGER,54.86,54.86,,,,,
,USB:,-,,,,,,,
25,768-1007-1-ND,IC USB TO SERIAL UART 28-SSOP-,4.05,101.25,,Indonesia,854239,,
3,768-1028-ND,CABLE USB TO TTL SERIAL CONV,20,60.00,,China,847330,,
3,768-1015-ND,CABLE USB - SERIAL TTL CONVERTER-,20,60.00,,Indonesia,847330,,
10,S1143E-36-ND,CONN HEADER 36POS .100 R-A SMD,3.3,33.00,,USA,853669,,
100,"670-2674-1-ND
","RCPT MICRO USB 2.0 B SMT H/D
",0.6237,62.37,,,,,
100,H2961CT-ND,CONN RECEPT MINI USB2.0 5POS,0.7425,74.25,Digikey: ,Indonesia,8536.69.4040,,
,,,,,"$7,787.60",,,,
,For labs requiring 220V:,,,,,,,,
,"*** Welding Station:  WES51DUK: 220V, 50Hz you will need to source this locally",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Mouser,,,,,,,,
,http://www.mouser.com,,,,,,,,
,ribbon cable connectors:,,,,,,,,
100,649-71600-004LF,Quickie IDC Connectors 2X2P SNGL BM RCPL 30 microinch gold,0.58,58.00,,USA,853669,,
100,649-71600-006LF,Quickie IDC Connectors 2X3P SNGL BM RCPL 30 microinch gold,0.44,44.00,,USA,853669,,
100,649-71600-010LF,Quickie IDC Connectors 2X5P SNGL BM RCPL 30 microinch gold,0.666,66.60,,USA,853669,,
100,649-95278-101A04LF,Bergstik Headers 2X2P UNSHRD HDR 30 microinch gold,0.564,56.40,,USA,853669,,
200,649-95278-101A06LF,Bergstik Headers 2X3P UNSHRD HDR 30 microinch gold,0.579,115.80,,USA,853669,,
100,649-95278-101A10LF,Bergstik Headers 2X5P UNSHRD HDR 30 microinch gold,0.764,76.40,,USA,853669,,
,ethernet module:,,,,MOUSER:,,,,
5,950-WIZ820IO,Ethernet Modules W5200 & MAG JACK ioPLATFORM MODULE,22.39,111.95,529.15,,,,
,,,,,,,,,
,Sparkfun,,,,,,,,
,https://www.sparkfun.com/,,,,,,,,
,imaging:,,,,,,,,
10,SEN-08667,"CMOS Camera - 640x480
",8.96,89.6,Sparkfun:,,,,
,,,,,89.6,,,,
,,,,,,,,,
,Jameco,,,,,,,,
,http://www.jameco.com,,,,,,,,
,transducers:,,,,,,,,
10,139492,"SENSOR,ULTRASONIC,40KHZ,TRAN1,REC1,112db/67db,2000pf/VARIOUS 40TR12B-R",7.19,71.90,,USA,8543.70.6000,,
25,1956784,"TRANSDUCER,PIEZO,30VAC,75dB, LEADS,0.5-20Hz,SINGLE TONE",2.59,64.75,,USA,8543.7,,
,actuators:,,,,,,,,
50,1810099,"MOTOR,DC,12VDC,8600RPM,63mA, SHAFT:Dia.0.08 ,0.43 L,14.8TOR",1.09,54.50,,USA,850110,,
10,232101,"MOTOR,DC,12-24V,22600RPM,1.4A 88.5G-CM,20.6W,SHFT 02.3X13mm",2.65,26.50,,Japan,850110,,
10,2138812,"MOTOR,STEP,7VDC/350Ma, 7.5 STEP ANGLE,680 g-cm",7.95,79.50,,USA,850110,,
10,253471,"MOTOR,DC,GEAR,12V,50/1,120RPM, 1100G-CM,74MA ",13.45,134.50,,USA,850110,,
10,2120479,"MOTOR,STEPPER,BIPOLAR,4VDC/1A 3600 GR-CM,1.8 STEP ANGLE",13.49,134.9,,USA,850110,,
10,238538,"MOTOR,STEP,12VDC/.4A, 3200 GM-CM",19.95,199.5,,USA,850110,,
,test leads:,,,,,,,,
10,11422,"CABLE ASSEMBLY,RG174,BNC TO MICROHOOK/JAMECO BENCHPRO",3.95,39.50,,USA,8544.42.9000,,
10,11464,"CABLE ASSEMBLY,RG174,BNC TO MINIHOOK/JAMECO BENCHPRO",3.95,39.50,,USA,8536.69.8000,,
,coax adapters:,,,,,,,,
10,11440,"PLUG,BNC/BANANA/JAMECO VALUEPRO",4.49,44.90,,USA,8536.69.8000,,
,third hands:,,,,,,,,
5,26690,"TOOL,THIRD HAND/VARIOUS 3RD HAND",5.49,27.45,Jameco:,USA,8203.40.6000,,
,,,,,$917.40,,,,
,Hobby King,,,,,,,,
,http://www.hobbyking.com,,,,,,,,
10,HK-5320,Ultra-Micro Digital Servo 1.7g/0.05sec/0.075kg,3.77,37.7,,USA,850110,,
10,HK15178,"Analog Servo 10g/1.4kg/0.09s
",1.95,19.5,,USA,850110,,
10,HKSCM9-5,Single Chip Digital Servo (5V) 10g/1.4kg/0.09s,2.99,29.9,,USA,850110,,
10,HK15138,Standard Analog Servo 38g/4.3kg/0.17s,3.12,31.2,,USA,850110,,
10,HKSCM16-6,Single Chip Digital Servo (6V) 16g/2.5kg/0.13s,3.64,36.4,,USA,850110,,
10,939MG,Metal Gear Servo 2.5kg/12.5g/0.14sec,4.37,43.7,,USA,850110,,
,,,,,Hobby King:,,,,
,,,,,$198.4,,,,
,Circuit Specialists,,,,,,,,
,http://www.circuitspecialists.com,,,,,,,,
,power supplies:,,,,,,,,
5,3A-161WU09,9V 1.70A AC-DC Universal Power Supply,11.99,59.95,,China,8471.80.90.00,,
5,3A-161WU12,12V 1.25A AC-DC Universal Power Supply,11.99,59.95,,China,8471.80.90.00,,
5,3A-161WU24,24 Volt 0.63 Amp AC-DC Universal Power Supply,11.49,57.45,,China,8471.80.90.00,,
5,PS1-25W-24,24 Volt Power Supply - 1.1 Amp Single Output,14.9,74.5,,China,8471.80.90.00,,
5,PS1-25W-48,48 Volt Power Supply - 0.57 Amp Single Output,14.9,74.5,CircuitSpecialists:,China,8471.80.90.00,,
,,,,,$326.35,,,,
,,,,,,,,,
,McMaster-Carr,,,,,,,,
,http://www.mcmaster.com/,,,,,,,,
,measuring:,,,,,,,,
10,2388A57,"Stainless Steel Pocket Rule Semiflexible, Inch to 64Ths, Metric/mm,",2.51,25.10,,USA,9017.20.80.60,,
3,19175A47,"Stanley Leverlock Tape Rule Inch/Metric, 26'/8M Blade Length, 1""",13.94,41.82,,Thailand,9017.20.80.60,,
3,2151A65,"Compact Aluminum Level Standard 9"" Length with Non-Magnetic Strip",8.51,25.53,,USA,9031.49.8000,,
1,1760T86,Compact Digital Bench Scale with Ss Platform 2000 Grams,347.17,347.17,,China,8423.81.0040,,
,storage:,,,,,,,,
3,5073T12,"Cardboard Bin Box Standard, 2"" Width X 12"" Depth",6.15,18.45,,USA,4819.10.0040,,
3,5073T29,"Cardboard Bin Box Standard, 3"" Width X 12"" Depth",7.41,22.23,,USA,4819.10.0040,,
3,5073T11,"Cardboard Bin Box Standard, 4"" Width X 12"" Depth",7.15,21.45,,USA,4819.10.0040,,
3,5073T14,"Cardboard Bin Box Standard, 6"" Width X 12"" Depth",7.63,22.89,,USA,4819.10.0040,,
3,5073T15,"Cardboard Bin Box Standard, 8"" Width X 12"" Depth",7.99,23.97,,USA,4819.10.0040,,
5,9619T61,"Plastic Cabinet 16 Drawers, 10-9/16"" W X 8-1/2"" H",15.78,78.90,,USA,9403.70.0000,,
2,9619T71,"Plastic Cabinet 24 Drawers, 20"" W X 15-13/16"" H",35.03,70.06,,USA,9403.70.0000,,
,cutting:,,,,,,,,
4,41865A12,"Scroll Saw Blade Regular Cut;.250"" Width, .028"" thk, 20",5.11,20.44,,USA,8208.20.0000,,
4,6917A23,"Scroll Saw Blade Fast Cut Skip Tooth, .029"" W,",4.78,19.12,,USA,8208.20.0000,,
4,41865A16,"Scroll Saw Blade Fast Cut Skip Tooth, .100"" W,",5.33,21.32,,USA,8208.20.0000,,
20,35545A71,Auto-Lock Breakaway-Blade Utility Knife Trimline w/Three 13-Point Blades ,3,60.00,,China,8211.93.0001,,
,molding/casting:,,,,,,,,
2,1865T35,"Plastic Cup Polypropylene, 37288 oz, 2-3/8"" Top OD X",7.03,14.06,,USA,3924.10.0002,,
1,77985T54,"6"" Length Wooden Paint Stirrer, Packs of 500 ",8.23,8.23,,China,4421.90.6500,,
2,52555T1,"Nitrile Disposable Gloves Powder Free, 5 MIL Thick, 9-1/2"" (medium)",13.33,26.66,,China,4015.19.0002,,
10,17805T81,"Disposable Aluminum Weighing Dish Smooth Sides, 2-7/8"" Diameter X",8.72,87.20,,USA,7615.19.9000,,
2,9060K53,"Soft Tempered Aluminum Foil .001"" Thick, 12"" Width, 250'",27.26,54.52,,USA,7607.11.3000,,
,cable ties:,,,,,,,,
5,7134K21,"Reusable Nylon Cable Tie Top Tab, 6"" L, 1-1/2""",6.34,31.70,,USA,3926.90.9980,,
5,7134K42,"Reusable Cable Tie Top Tab, 15-5/16"" L, 4"" ",6.92,34.60,,USA,3926.90.9980,,
,hand tools:,,,,,,,,
10,5820A17,6 Piece Fold-Up Screwdriver Set    ,7.3,73.00,,USA,8205.40.0000,,
5,54405A55,"High-Visibility Orange Fold-Up Hex Key Set 9 Pcs, Sizes:",5.23,26.15,,USA,8204.11.0060,,
5,54405A56,"High-Visibility Orange Fold-Up Hex Key Set 9 Pcs, Sizes:",6.71,33.55,,USA,8204.11.0060,,
3,8174A42,"12-Piece Economy Needle-File Set 5-1/2"" Long, Cut No.2 ",18,54.00,,China,8203.10.0000,,
,glue gun:,,,,,,,,
1,7578A11,Cordless Glue Gun      ,22.98,22.98,,Taiwan,8516.79.0000,,
2,7518A717,"Clear Glue Stick, 1/2"" X 4"", 1-lb Package ",6.61,13.22,,USA,3506.91.0000,,
,modela collet hex key / screw set:,,,,,,,,
5,5503A36,"Ball-Point L-Key 1.5mm Hex, 3-5/64"" Blade Length  ",0.75,3.75,,USA,8204.11.0060,,
2,92605A097,Metric 18-8 SS Flat Point Socket Set Screw M3,2.73,5.46,,Taiwan,8204.11.0060,,
,cleaning:,,,,,,,,
1,7074T62,"Swab Cotton-Low Lint Tip,.141"" Diam X .44"" L Tip,",2.26,2.26,,USA,5601.21.0000,,
5,54845T42,"First-Aid Supplies Isopropyl Alcohol 0.7 USP, 16 Ounces ",2.39,11.95,,USA,2905.12.0050,,
,magnet wire:,,,,,,,,
2,7588K71,"Magnet Wire 30 AWG, Copper, 3000' Length Spool ",27.96,55.92,,USA,7408.19.00.00,,
,shape memory wire:,,,,,,,,
1,8320K11,"Shape-Memory Nitinol Wire .004"" Diameter, 30' Coil",37.26,37.26,,USA,7505.22.0000,,
,vinyl-cut pcb substrate:,,,,,,,,
10,8525K411,"Grade Xx Tan Garolite Sheet 1/32"" Thick, 12"" X",3.53,35.30,,USA,3921.90.4010,,
,non-skid feet:,,,,,,,,
1,6968T61,"Textured-Surface Antislip Runner Mat Rubber, 36"" W X 48""",23.58,23.58,,USA,4016.91.0000,,
,shopbot clamps:,shopbot fixturing clamps;,,,,,,,
8,5039A52,"Quick-Grip Bar Clamp 12"" Maximum Opening, 150 lb Holding",19.3,154.40,,China,8205.70.00.90,,
,shopbot dust removal:,,,,,,,,
